col,desc_only,source
QUES_PERIOD_END,,
GC_ORG_NUMBER,,
S_PTNR_OVERALL_SCORE,Average of the 5 general survey averages. , CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_SRVC_OVERALL,"Service Survey score for ""Overall"". ", CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_SRVC_AVG,"Average of all service survey scores except for ""Overall"". ", CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_SRVC_MEDIAN,"Median of all service survey scores except for ""Overall"". ", CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_TIMELY_QUES_1,"""Overall, I am satisfied with the number of days it took to receive SSC services."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_TIMELY_QUES_2,"""When I have a specific problem or issue, SSC resolves it in a timely fashion."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_TIMELY_QUES_3,"""When there is an unplanned outage or emergency, SSC addresses and resolves it in a timely manner."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_TIMELY_AVG_SCORE,"Average of general survey ""Timeliness"" questions. ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_EASE_OF_ACCESS_QUES_1,"""SSC service information is readily available."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_EASE_OF_ACCESS_QUES_2,"""I am able to have my service needs addressed through engagement with my SSC Account Team."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_EASE_OF_ACCESS_QUES_3,"""When I have a problem, I understand how to engage SSC to resolve the problem."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_EASE_OF_ACCESS_AVG_SCORE,"Average of general survey ""Ease of Access"" questions. ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_POSTV_OUTCM_QUES_1,"""Overall, I was satisfied with the SSC services I received."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_POSTV_OUTCM_QUES_2,"""Overall, I was satisfied with the SSC resolving issues"" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_POSTV_OUTCM_AVG_SCORE,"Average of general survey ""Positive outcome"" questions. ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_PRCS_QUES_1,"""The process to receive/obtain SSC services is easy to use."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_PRCS_QUES_2,"""When I have a problem or service delivery issue, SSC keeps me and my department up to date on the resolution."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_PRCS_QUES_3,"""Regular partnership meetings and bilateral governance (i.e. CIO Council, CIO Forum, etc.) work effectively."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_PRCS_QUES_4,"""SSC effectively communicates important information to me."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_PRCS_AVG_SCORE,"Average of general survey ""Process"" questions. ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_ENGMT_QUES_1,"""My SSC Account Team manages the relationship effectively."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_ENGMT_QUES_2,"""My SSC Account Team understands my business needs and priorities."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_ENGMT_QUES_3,"""My SSC Account Team is an effective advocate within SSC."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_ENGMT_QUES_4,"""My SSC Account Team goes the extra mile to make sure I get what I need."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_ENGMT_QUES_5,"""Overall, I am treated fairly by my SSC Account Team."" ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_ENGMT_AVG_SCORE,"Average of general survey ""Engagement"" questions. ", CURATED.SRVC_DLVRY_GENERAL_SATSFN
S_CABLING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_CLOUD_BROKERING_SERVICES,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_CONTACT_CENTRE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_DCC-M365_INTEGRATION,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_DCC-M365_USER_EXPERIENCE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_DATABASE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_EMAIL,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_EXTERNAL_CREDENTIAL_MANAGEMENT,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_FIXED_LINE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_GC_LAN,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_GC_WAN,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_GC_WI-FI,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_GCSI,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_HARDWARE_PROVISIONING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_HIGH-PERFORMANCE_COMPUTING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_IT_CONTINUITY,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_INTERNET,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MAINFRAME,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MIDDLEWARE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MIDRANGE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MIDRANGE-LINUX/UNIX,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MIDRANGE-WINDOWS,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_MOBILE_DEVICES,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_PRINTING,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
S_SATELLITE,Service Survey score for a particular service. , CURATED.SRVC_DLVRY_SERVICE_SATSFN
